MovieID,Movie Title,"Movie
Year","IMDB
Rating",                  Genres,"IMBD Votes
(REMOVED)"
m0,10 things i hate about you,1999,6.90,['comedy' 'romance']                 ,
m1,1492: conquest of paradise,1992,6.20,['adventure' 'biography' 'drama' 'history']               ,
m2,15 minutes,2001,6.10,['action' 'crime' 'drama' 'thriller']               ,
m3,2001: a space odyssey,1968,8.40,['adventure' 'mystery' 'sci-fi']                ,
m4,48 hrs.,1982,6.90,['action' 'comedy' 'crime' 'drama' 'thriller']              ,
m5,the fifth element,1997,7.50,['action' 'adventure' 'romance' 'sci-fi' 'thriller']              ,
m6,8mm,1999,6.30,['crime' 'mystery' 'thriller']                ,
m7,a nightmare on elm street 4: the dream master,1988,5.20,['fantasy' 'horror' 'thriller']                ,
m8,a nightmare on elm street: the dream child,1989,4.70,['fantasy' 'horror' 'thriller']                ,
m9,the atomic submarine,1959,4.90,['sci-fi' 'thriller']                 ,
m10,affliction,1997,6.90,['drama' 'mystery' 'thriller']                ,
m11,air force one,1997,6.30,['action' 'drama' 'thriller']                ,
m12,airplane ii: the sequel,1982,5.80,['comedy' 'romance' 'sci-fi']                ,
m13,airplane!,1980,7.80,['comedy' 'romance']                 ,
m14,alien nation,1988,6.10,['crime' 'drama' 'sci-fi' 'thriller']               ,
m15,aliens,1986,8.50,['action' 'sci-fi' 'thriller']                ,
m16,amadeus,1984,8.40,['biography' 'drama' 'music']                ,
m17,an american werewolf in london,1981,7.50,['horror' 'romance']                 ,
m18,american madness,1932,7.40,['drama']                  ,
m19,american outlaws,2001,5.70,['action' 'western']                 ,
m20,american psycho,2000,7.40,['drama' 'thriller']                 ,
m21,antitrust,2001,6.00,['drama' 'thriller']                 ,
m22,austin powers: international man of mystery,1997,7.10,['action' 'adventure' 'comedy' 'crime']               ,
m23,the avengers,1998,3.40,['action' 'adventure' 'thriller']                ,
m24,bachelor party,1984,5.90,['comedy' 'romance']                 ,
m25,backdraft,1991,6.60,['action' 'crime' 'drama' 'mystery' 'thriller']              ,
m26,bad lieutenant,1992,6.90,['crime' 'drama']                 ,
m27,bamboozled,2000,6.30,['comedy' 'drama' 'music']                ,
m28,barry lyndon,1975,8.10,['drama' 'romance' 'war']                ,
m29,basic,2003,6.30,['crime' 'drama' 'mystery' 'thriller']               ,
m30,big fish,2003,8.10,['adventure' 'drama' 'fantasy']                ,
m31,birthday girl,2001,6.00,['comedy' 'crime' 'romance' 'thriller']               ,
m32,black snake moan,2006,7.10,['drama']                  ,
m33,black rain,1989/I,6.40,['action' 'crime' 'drama' 'thriller']               ,
m34,blade runner,1982,8.30,['drama' 'sci-fi' 'thriller']                ,
m35,blast from the past,1999,6.40,['comedy' 'drama' 'romance']                ,
m36,blue velvet,1986,7.80,['crime' 'mystery' 'thriller']                ,
m37,the boondock saints,1999,7.80,['action' 'crime' 'drama' 'thriller']               ,
m38,bottle rocket,1996,7.20,['comedy' 'crime']                 ,
m39,the bourne supremacy,2004,7.60,['action' 'adventure' 'mystery' 'thriller']               ,
m40,braveheart,1995,8.40,['action' 'biography' 'drama' 'history' 'war']              ,
m41,the butterfly effect,2004,7.80,['drama' 'mystery' 'sci-fi' 'thriller']               ,
m42,casablanca,1942,8.80,['drama' 'romance' 'war']                ,
m43,cast away,2000,7.50,['adventure' 'drama']                 ,
m44,the cider house rules,1999,7.50,['drama' 'romance']                 ,
m45,confidence,2003,6.80,['crime' 'thriller']                 ,
m46,croupier,1998,7.20,['crime' 'drama']                 ,
m47,dark star,1974,6.50,['comedy' 'sci-fi' 'thriller']                ,
m48,dark angel,1990,5.30,['action' 'crime' 'drama' 'horror' 'sci-fi' 'thriller']             ,
m49,detroit rock city,1999,6.50,['comedy' 'music']                 ,
m50,donnie darko,2001,8.30,['drama' 'mystery' 'sci-fi']                ,
m51,drop dead gorgeous,1999,6.30,['comedy' 'adult']                 ,
m52,duck soup,1933,8.10,['comedy' 'musical']                 ,
m53,the elephant man,1980,8.40,['biography' 'drama' 'history']                ,
m54,erik the viking,1989,5.90,['comedy' 'adventure' 'fantasy']                ,
m55,eternal sunshine of the spotless mind,2004,8.50,['drama' 'romance' 'sci-fi']                ,
m56,even cowgirls get the blues,1993,4.00,['comedy' 'drama' 'romance' 'western']               ,
m57,event horizon,1997,6.40,['horror' 'mystery' 'mystery' 'sci-fi' 'sci-fi']              ,
m58,fantastic four,2005,5.70,['action' 'adventure' 'fantasy' 'sci-fi' 'fantasy']              ,
m59,fast times at ridgemont high,1982,7.20,['comedy' 'drama' 'romance']                ,
m60,fear and loathing in las vegas,1998,7.60,['drama' 'fantasy']                 ,
m61,feast,2005,6.40,['action' 'comedy' 'horror' 'thriller']               ,
m62,frances,1982,7.20,['biography' 'drama']                 ,
m63,frankenstein,1931,8.00,['drama' 'horror' 'sci-fi']                ,
m64,friday the 13th,2009,5.60,['horror']                  ,
m65,from dusk till dawn,1996,7.10,['action' 'crime' 'horror' 'thriller']               ,
m66,g.i. jane,1997,5.60,['action' 'drama']                 ,
m67,godzilla,1998,4.90,['action' 'horror' 'sci-fi' 'thriller']               ,
m68,galaxy quest,1999,7.20,['action' 'adventure' 'comedy' 'sci-fi']               ,
m69,george washington,2000,7.50,['drama']                  ,
m70,get shorty,1995,6.90,['comedy' 'crime' 'thriller']                ,
m71,ghost ship,2002,5.30,['horror' 'mystery' 'thriller']                ,
m72,ghost world,2001,7.70,['comedy' 'drama']                 ,
m73,the ghost and the darkness,1996,6.60,['adventure' 'drama' 'thriller']                ,
m74,ghostbusters ii,1989,6.10,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi']          ,
m75,ghostbusters,1986,6.90,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror']              ,
m76,gladiator,2000,8.40,['action' 'adventure' 'drama']                ,
m77,the graduate,1967,8.20,['comedy' 'drama' 'romance']                ,
m78,grand hotel,1932,7.70,['drama' 'romance']                 ,
m79,the grifters,1990,7.00,['crime' 'drama' 'thriller']                ,
m80,halloween h20: 20 years later,1998,5.40,['drama' 'horror' 'thriller']                ,
m81,halloween: the curse of michael myers,1995,4.50,['horror' 'thriller']                 ,
m82,happy birthday wanda june,1971,5.80,['comedy' 'drama']                ,
m83,hardcore,1979,6.70,['drama']                  ,
m84,harold and maude,1971,8.10,['comedy' 'romance']                 ,
m85,hellbound: hellraiser ii,1988,6.20,['drama' 'horror' 'thriller']                ,
m86,hellboy,2004,6.80,['action' 'adventure' 'fantasy']                ,
m87,hellraiser,1987,7.00,['horror']                  ,
m88,high fidelity,2000,7.60,['comedy' 'drama' 'music' 'romance']               ,
m89,highlander,1986,7.20,['action' 'fantasy']                 ,
m90,his girl friday,1940,8.10,['comedy' 'drama' 'romance']                ,
m91,hope and glory,1987,7.40,['drama' 'war']                 ,
m92,house of 1000 corpses,2003,5.60,['horror']                  ,
m93,human nature,2001,6.30,['comedy' 'drama']                 ,
m94,the hustler,1961,8.20,['drama' 'romance' 'sport']                ,
