,CharacterID,MovieID,Gender
0,u0,m0,f
1,u1,m0,?
2,u2,m0,m
3,u3,m0,?
4,u4,m0,m
5,u5,m0,f
6,u6,m0,f
7,u7,m0,m
8,u8,m0,?
9,u9,m0,m
10,u10,m0,?
11,u11,m0,m
12,u12,m1,?
13,u13,m1,?
14,u14,m1,?
15,u15,m1,?
16,u16,m1,m
17,u17,m1,?
18,u18,m1,?
19,u19,m1,m
20,u20,m1,?
21,u21,m1,?
22,u22,m1,?
23,u23,m1,?
24,u24,m1,?
25,u25,m1,?
26,u26,m2,m
27,u27,m2,f
28,u28,m2,?
29,u29,m2,m
30,u30,m2,m
31,u31,m2,?
32,u32,m2,?
33,u33,m2,?
34,u34,m2,m
35,u35,m2,m
36,u36,m2,?
37,u37,m2,?
38,u38,m2,?
39,u39,m2,?
40,u40,m2,?
41,u41,m2,f
42,u42,m2,m
43,u43,m2,?
44,u44,m2,?
45,u45,m2,?
46,u46,m2,?
47,u47,m2,?
48,u48,m2,?
49,u49,m3,?
50,u50,m3,m
51,u51,m3,?
52,u52,m3,?
53,u53,m3,?
54,u54,m3,?
55,u55,m3,?
56,u56,m3,m
57,u57,m3,?
58,u58,m3,?
59,u59,m3,?
60,u60,m3,m
61,u61,m3,?
62,u62,m4,?
63,u63,m4,?
64,u64,m4,?
65,u65,m4,?
66,u66,m4,?
67,u67,m4,m
68,u68,m4,f
69,u69,m4,?
70,u70,m4,?
71,u71,m4,m
72,u72,m4,?
73,u73,m4,?
74,u74,m4,?
75,u75,m4,?
76,u76,m4,?
77,u77,m4,?
78,u78,m5,m
79,u79,m5,?
80,u80,m5,?
81,u81,m5,?
82,u82,m5,?
83,u83,m5,?
84,u84,m5,m
85,u85,m5,f
86,u86,m5,?
87,u87,m5,?
88,u88,m5,?
89,u89,m5,?
90,u90,m5,?
91,u91,m5,?
92,u92,m5,?
93,u93,m5,?
94,u94,m5,?
95,u95,m5,?
96,u96,m5,?
97,u97,m5,?
98,u98,m5,?
99,u99,m5,?
100,u100,m6,f
101,u101,m6,?
102,u102,m6,?
103,u103,m6,m
104,u104,m6,?
105,u105,m6,m
106,u106,m6,m
107,u107,m6,?
108,u108,m6,m
109,u109,m6,M
110,u110,m6,M
111,u111,m6,?
112,u112,m6,?
113,u113,m6,?
114,u114,m6,m
115,u115,m7,f
116,u116,m7,m
117,u117,m7,?
118,u118,m7,?
119,u119,m7,?
120,u120,m7,?
121,u121,m7,?
122,u122,m7,?
123,u123,m8,f
124,u124,m8,?
125,u125,m8,?
126,u126,m8,?
127,u127,m8,?
128,u128,m8,m
129,u129,m8,?
130,u130,m8,f
131,u131,m9,m
132,u132,m9,m
133,u133,m9,?
134,u134,m9,?
135,u135,m9,m
136,u136,m9,?
137,u137,m9,?
138,u138,m9,?
139,u139,m10,f
140,u140,m10,?
141,u141,m10,?
142,u142,m10,m
143,u143,m10,f
144,u144,m10,m
145,u145,m10,?
146,u146,m10,?
147,u147,m10,f
148,u148,m10,?
149,u149,m10,?
150,u150,m10,?
151,u151,m10,?
152,u152,m10,m
153,u153,m10,m
154,u154,m10,m
155,u155,m11,?
156,u156,m11,?
157,u157,m11,?
158,u158,m11,?
159,u159,m11,?
160,u160,m11,?
161,u161,m11,?
162,u162,m11,?
163,u163,m11,?
164,u164,m11,?
165,u165,m11,?
166,u166,m11,?
167,u167,m11,?
168,u168,m11,?
169,u169,m11,m
170,u170,m11,?
171,u171,m11,?
172,u172,m11,?
173,u173,m11,?
174,u174,m11,m
175,u175,m11,?
176,u176,m11,?
177,u177,m11,?
178,u178,m12,?
179,u179,m12,?
180,u180,m12,f
181,u181,m12,?
182,u182,m12,?
183,u183,m12,?
184,u184,m12,?
185,u185,m12,?
186,u186,m12,?
187,u187,m12,?
188,u188,m12,?
189,u189,m12,?
190,u190,m12,?
191,u191,m12,m
192,u192,m12,?
193,u193,m12,m
194,u194,m12,?
195,u195,m13,?
196,u196,m13,?
197,u197,m13,?
198,u198,m13,f
199,u199,m13,?
200,u200,m13,?
201,u201,m13,?
202,u202,m13,?
203,u203,m13,?
204,u204,m13,?
205,u205,m13,?
206,u206,m13,?
207,u207,m13,?
208,u208,m13,?
209,u209,m13,?
210,u210,m13,?
211,u211,m13,?
212,u212,m13,?
213,u213,m13,?
214,u214,m13,m
215,u215,m14,?
216,u216,m14,?
217,u217,m14,?
218,u218,m14,M
219,u219,m14,?
220,u220,m14,?
221,u221,m14,?
222,u222,m14,?
223,u223,m14,?
224,u224,m14,m
225,u225,m14,?
226,u226,m14,?
227,u227,m14,?
228,u228,m15,?
229,u229,m15,m
230,u230,m15,m
231,u231,m15,?
232,u232,m15,m
233,u233,m15,?
234,u234,m15,?
235,u235,m15,?
236,u236,m15,f
237,u237,m15,f
238,u238,m15,?
239,u239,m15,?
240,u240,m15,?
241,u241,m16,?
242,u242,m16,?
243,u243,m16,?
244,u244,m16,f
245,u245,m16,?
246,u246,m16,?
247,u247,m16,f
248,u248,m16,?
249,u249,m16,?
250,u250,m16,?
251,u251,m16,m
252,u252,m16,m
253,u253,m16,f
254,u254,m16,?
255,u255,m16,m
256,u256,m16,?
257,u257,m16,m
258,u258,m16,?
259,u259,m16,?
260,u260,m16,m
261,u261,m16,m
262,u262,m16,?
263,u263,m16,?
264,u264,m16,?
265,u265,m16,?
266,u266,m16,m
267,u267,m16,?
268,u268,m16,?
269,u269,m17,f
270,u270,m17,?
271,u271,m17,?
272,u272,m17,?
273,u273,m17,?
274,u274,m17,m
275,u275,m17,M
276,u276,m17,m
277,u277,m17,?
278,u278,m17,?
279,u279,m17,?
280,u280,m17,?
281,u281,m17,?
282,u282,m17,?
283,u283,m17,?
284,u284,m18,?
285,u285,m18,?
286,u286,m18,m
287,u287,m18,m
288,u288,m18,m
