Gender,Index: 0,CharacterID,MovieID
f,0,u0,m0
f,5,u5,m0
f,6,u6,m0
f,27,u27,m2
f,41,u41,m2
f,68,u68,m4
f,85,u85,m5
f,100,u100,m6
f,115,u115,m7
f,123,u123,m8
f,130,u130,m8
f,139,u139,m10
f,143,u143,m10
f,147,u147,m10
f,180,u180,m12
f,198,u198,m13
f,236,u236,m15
f,237,u237,m15
f,244,u244,m16
f,247,u247,m16
f,253,u253,m16
f,269,u269,m17
f,292,u292,m18
f,299,u299,m18
f,326,u326,m19
f,331,u331,m20
f,333,u333,m20
f,334,u334,m20
f,336,u336,m20
f,344,u344,m21
f,353,u353,m21
f,360,u360,m22
f,377,u377,m22
f,380,u380,m23
f,388,u388,m23
f,393,u393,m24
f,416,u416,m25
f,417,u417,m25
f,425,u425,m26
f,450,u450,m27
f,452,u452,m27
f,482,u482,m29
f,493,u493,m30
f,494,u494,m30
f,497,u497,m30
f,502,u502,m31
f,505,u505,m32
f,515,u515,m32
f,517,u517,m32
f,523,u523,m33
f,539,u539,m34
f,540,u540,m34
f,556,u556,m35
f,557,u557,m35
f,571,u571,m36
f,580,u580,m36
f,616,u616,m39
f,619,u619,m39
f,622,u622,m39
f,623,u623,m39
f,636,u636,m40
f,638,u638,m40
f,643,u643,m41
f,650,u650,m41
f,658,u658,m42
f,664,u664,m42
f,682,u682,m43
f,689,u689,m44
f,691,u691,m44
f,706,u706,m44
f,715,u715,m45
f,725,u725,m46
f,730,u730,m46
f,733,u733,m46
f,752,u752,m48
f,755,u755,m48
f,785,u785,m50
f,796,u796,m51
f,797,u797,m51
f,810,u810,m51
f,824,u824,m53
f,833,u833,m53
f,839,u839,m54
f,846,u846,m54
f,859,u859,m55
f,862,u862,m55
f,864,u864,m55
f,874,u874,m56
f,877,u877,m56
f,885,u885,m57
f,887,u887,m57
f,897,u897,m58
f,910,u910,m59
f,915,u915,m59
f,918,u918,m60
f,929,u929,m61
f,935,u935,m61
f,955,u955,m62
f,962,u962,m62
f,972,u972,m63
f,983,u983,m64
f,998,u998,m65
f,1010,u1010,m66
f,1017,u1017,m66
f,1025,u1025,m67
f,1041,u1041,m68
f,1059,u1059,m69
f,1062,u1062,m69
f,1078,u1078,m70
f,1087,u1087,m71
f,1094,u1094,m72
f,1106,u1106,m72
f,1107,u1107,m72
f,1120,u1120,m74
f,1124,u1124,m74
f,1161,u1161,m76
f,1166,u1166,m76
f,1172,u1172,m77
f,1177,u1177,m77
f,1178,u1178,m77
f,1179,u1179,m77
f,1188,u1188,m78
f,1190,u1190,m78
f,1199,u1199,m78
f,1210,u1210,m79
f,1213,u1213,m79
f,1223,u1223,m80
f,1244,u1244,m82
f,1252,u1252,m83
f,1262,u1262,m83
f,1273,u1273,m84
f,1283,u1283,m85
f,1306,u1306,m87
f,1307,u1307,m87
f,1314,u1314,m88
f,1319,u1319,m88
f,1320,u1320,m88
f,1321,u1321,m88
f,1325,u1325,m88
f,1364,u1364,m90
f,1380,u1380,m91
f,1381,u1381,m91
f,1388,u1388,m92
f,1392,u1392,m92
f,1395,u1395,m92
f,1404,u1404,m93
f,1405,u1405,m93
f,1420,u1420,m94
f,1422,u1422,m95
f,1430,u1430,m96
f,1434,u1434,m97
f,1437,u1437,m97
f,1455,u1455,m98
f,1468,u1468,m99
f,1497,u1497,m101
f,1505,u1505,m101
f,1519,u1519,m102
f,1525,u1525,m102
f,1530,u1530,m103
f,1535,u1535,m103
f,1572,u1572,m104
f,1586,u1586,m104
f,1588,u1588,m104
f,1593,u1593,m105
f,1596,u1596,m105
f,1614,u1614,m106
f,1635,u1635,m107
f,1646,u1646,m108
f,1656,u1656,m109
f,1660,u1660,m109
f,1661,u1661,m109
f,1662,u1662,m109
f,1668,u1668,m109
f,1670,u1670,m110
f,1674,u1674,m110
f,1680,u1680,m111
f,1685,u1685,m111
f,1691,u1691,m111
f,1706,u1706,m112
f,1715,u1715,m113
f,1724,u1724,m113
f,1730,u1730,m114
f,1736,u1736,m115
f,1758,u1758,m116
f,1763,u1763,m117
f,1767,u1767,m117
f,1772,u1772,m117
f,1774,u1774,m117
f,1788,u1788,m118
f,1790,u1790,m118
f,1794,u1794,m119
f,1804,u1804,m119
f,1835,u1835,m121
f,1852,u1852,m121
f,1858,u1858,m122
f,1868,u1868,m123
f,1885,u1885,m123
f,1886,u1886,m123
f,1900,u1900,m124
f,1907,u1907,m125
f,1915,u1915,m126
f,1925,u1925,m126
f,1928,u1928,m126
f,1948,u1948,m127
f,1961,u1961,m128
f,1990,u1990,m129
f,2003,u2003,m130
f,2004,u2004,m130
f,2036,u2036,m132
f,2048,u2048,m132
f,2064,u2064,m133
f,2074,u2074,m134
f,2120,u2120,m137
f,2127,u2127,m138
f,2130,u2130,m138
f,2135,u2135,m139
f,2147,u2147,m139
f,2150,u2150,m139
f,2157,u2157,m140
f,2175,u2175,m140
f,2184,u2184,m141
f,2192,u2192,m141
f,2197,u2197,m141
f,2200,u2200,m141
f,2205,u2205,m142
f,2218,u2218,m143
f,2237,u2237,m144
f,2239,u2239,m144
f,2242,u2242,m144
f,2261,u2261,m145
f,2270,u2270,m146
f,2286,u2286,m147
f,2288,u2288,m147
f,2297,u2297,m148
f,2299,u2299,m148
f,2304,u2304,m149
f,2314,u2314,m149
f,2320,u2320,m149
f,2341,u2341,m150
f,2351,u2351,m151
f,2369,u2369,m152
f,2378,u2378,m152
f,2384,u2384,m152
f,2386,u2386,m152
f,2388,u2388,m152
f,2400,u2400,m153
f,2411,u2411,m154
f,2412,u2412,m154
f,2421,u2421,m155
f,2423,u2423,m155
f,2460,u2460,m158
f,2464,u2464,m158
f,2467,u2467,m159
f,2489,u2489,m161
f,2496,u2496,m162
f,2506,u2506,m162
f,2507,u2507,m162
f,2516,u2516,m163
f,2518,u2518,m163
f,2521,u2521,m163
f,2524,u2524,m163
f,2538,u2538,m164
f,2541,u2541,m164
f,2546,u2546,m165
f,2551,u2551,m165
f,2569,u2569,m166
f,2575,u2575,m167
f,2578,u2578,m167
f,2586,u2586,m168
f,2589,u2589,m168
f,2595,u2595,m169
f,2627,u2627,m171
f,2629,u2629,m171
f,2637,u2637,m172
f,2654,u2654,m173
f,2657,u2657,m173
f,2670,u2670,m174
f,2675,u2675,m174
f,2680,u2680,m174
f,2687,u2687,m175
f,2688,u2688,m175
f,2711,u2711,m177
f,2737,u2737,m178
f,2742,u2742,m178
f,2749,u2749,m179
f,2766,u2766,m180
f,2788,u2788,m182
f,2803,u2803,m183
f,2807,u2807,m184
f,2812,u2812,m184
f,2843,u2843,m186
f,2844,u2844,m186
f,2848,u2848,m187
f,2851,u2851,m188
f,2852,u2852,m188
f,2873,u2873,m189
f,2901,u2901,m191
f,2923,u2923,m192
f,2940,u2940,m193
f,2957,u2957,m194
f,2971,u2971,m195
f,2987,u2987,m195
f,2991,u2991,m196
f,2992,u2992,m196
f,3001,u3001,m196
f,3024,u3024,m198
f,3026,u3026,m198
f,3043,u3043,m199
f,3055,u3055,m200
f,3058,u3058,m200
f,3073,u3073,m201
f,3081,u3081,m202
f,3086,u3086,m202
f,3104,u3104,m203
f,3122,u3122,m204
f,3123,u3123,m204
f,3129,u3129,m205
f,3132,u3132,m205
f,3145,u3145,m207
f,3162,u3162,m208
f,3164,u3164,m208
f,3168,u3168,m208
f,3171,u3171,m208
f,3174,u3174,m208
f,3183,u3183,m209
f,3189,u3189,m210
f,3192,u3192,m210
f,3201,u3201,m211
f,3213,u3213,m212
f,3217,u3217,m212
f,3232,u3232,m214
f,3235,u3235,m214
f,3248,u3248,m215
f,3250,u3250,m215
f,3254,u3254,m215
f,3261,u3261,m216
f,3266,u3266,m216
f,3276,u3276,m217
f,3277,u3277,m217
f,3311,u3311,m220
f,3338,u3338,m221
f,3340,u3340,m221
f,3352,u3352,m222
f,3362,u3362,m223
f,3380,u3380,m224
f,3390,u3390,m224
f,3413,u3413,m225
f,3414,u3414,m225
f,3419,u3419,m225
f,3437,u3437,m226
f,3443,u3443,m227
f,3486,u3486,m229
f,3488,u3488,m229
f,3500,u3500,m230
f,3504,u3504,m230
f,3512,u3512,m231
f,3516,u3516,m231
f,3518,u3518,m231
f,3525,u3525,m232
f,3532,u3532,m233
f,3543,u3543,m233
f,3549,u3549,m234
f,3555,u3555,m234
f,3557,u3557,m234
f,3567,u3567,m235
f,3570,u3570,m235
f,3601,u3601,m238
f,3602,u3602,m238
f,3603,u3603,m238
f,3604,u3604,m238
f,3606,u3606,m238
f,3612,u3612,m239
f,3640,u3640,m240
f,3641,u3641,m240
f,3646,u3646,m240
f,3654,u3654,m240
f,3664,u3664,m241
f,3667,u3667,m242
f,3680,u3680,m243
f,3686,u3686,m243
f,3696,u3696,m243
f,3703,u3703,m244
f,3704,u3704,m244
f,3708,u3708,m244
f,3710,u3710,m244
f,3713,u3713,m244
f,3714,u3714,m244
f,3715,u3715,m244
f,3717,u3717,m245
f,3730,u3730,m246
f,3732,u3732,m246
f,3739,u3739,m246
f,3765,u3765,m248
f,3777,u3777,m249
f,3780,u3780,m249
f,3794,u3794,m250
f,3816,u3816,m252
f,3819,u3819,m252
f,3842,u3842,m254
f,3857,u3857,m255
f,3864,u3864,m256
f,3878,u3878,m257
f,3879,u3879,m257
f,3899,u3899,m258
f,3918,u3918,m259
f,3926,u3926,m260
f,3935,u3935,m261
f,3956,u3956,m262
f,3957,u3957,m263
f,3980,u3980,m265
f,3983,u3983,m265
f,3986,u3986,m265
f,3998,u3998,m266
f,4008,u4008,m266
f,4012,u4012,m266
f,4029,u4029,m267
f,4032,u4032,m267
f,4037,u4037,m268
f,4039,u4039,m268
f,4040,u4040,m268
f,4041,u4041,m268
f,4060,u4060,m269
f,4076,u4076,m271
f,4086,u4086,m272
f,4099,u4099,m274
f,4125,u4125,m276
f,4139,u4139,m276
f,4141,u4141,m276
f,4168,u4168,m278
f,4174,u4174,m278
f,4178,u4178,m278
f,4180,u4180,m279
f,4181,u4181,m279
f,4183,u4183,m279
f,4202,u4202,m280
f,4210,u4210,m281
f,4214,u4214,m281
f,4222,u4222,m282
f,4240,u4240,m283
f,4263,u4263,m284
f,4278,u4278,m285
f,4284,u4284,m286
f,4286,u4286,m286
f,4300,u4300,m287
f,4307,u4307,m287
f,4311,u4311,m287
f,4315,u4315,m288
f,4349,u4349,m289
f,4362,u4362,m289
f,4385,u4385,m290
f,4408,u4408,m292
f,4424,u4424,m293
f,4434,u4434,m294
f,4438,u4438,m294
f,4445,u4445,m294
f,4476,u4476,m296
f,4495,u4495,m297
f,4504,u4504,m298
f,4505,u4505,m298
f,4515,u4515,m298
f,4522,u4522,m299
f,4540,u4540,m299
f,4548,u4548,m300
f,4562,u4562,m301
f,4575,u4575,m302
f,4602,u4602,m304
f,4615,u4615,m305
f,4630,u4630,m306
f,4631,u4631,m306
f,4641,u4641,m307
f,4649,u4649,m308
f,4653,u4653,m308
f,4668,u4668,m309
f,4688,u4688,m310
f,4704,u4704,m312
f,4707,u4707,m312
f,4708,u4708,m312
f,4710,u4710,m312
f,4718,u4718,m313
f,4719,u4719,m313
f,4720,u4720,m313
f,4722,u4722,m313
f,4725,u4725,m313
f,4754,u4754,m316
f,4770,u4770,m317
f,4778,u4778,m318
f,4795,u4795,m319
f,4805,u4805,m320
f,4869,u4869,m324
f,4874,u4874,m325
f,4892,u4892,m326
f,4902,u4902,m326
f,4907,u4907,m327
f,4914,u4914,m327
f,4931,u4931,m328
f,4940,u4940,m329
f,4945,u4945,m329
f,4958,u4958,m330
f,4963,u4963,m330
f,4972,u4972,m330
f,4986,u4986,m331
f,4988,u4988,m331
f,5001,u5001,m332
f,5036,u5036,m333
f,5039,u5039,m333
f,5051,u5051,m334
f,5054,u5054,m334
f,5064,u5064,m335
f,5073,u5073,m336
f,5076,u5076,m336
f,5138,u5138,m341
f,5151,u5151,m341
f,5153,u5153,m341
f,5172,u5172,m342
f,5173,u5173,m342
f,5182,u5182,m343
f,5194,u5194,m344
f,5201,u5201,m344
f,5222,u5222,m346
f,5243,u5243,m347
f,5265,u5265,m348
f,5273,u5273,m349
f,5281,u5281,m349
f,5292,u5292,m350
f,5297,u5297,m351
f,5305,u5305,m352
f,5312,u5312,m352
f,5319,u5319,m353
f,5323,u5323,m353
f,5327,u5327,m353
f,5331,u5331,m354
f,5356,u5356,m355
f,5357,u5357,m355
f,5362,u5362,m356
f,5366,u5366,m356
f,5373,u5373,m356
f,5399,u5399,m358
f,5406,u5406,m359
f,5408,u5408,m359
f,5411,u5411,m359
f,5435,u5435,m362
f,5438,u5438,m362
f,5440,u5440,m362
f,5443,u5443,m362
f,5450,u5450,m363
f,5451,u5451,m363
f,5452,u5452,m363
f,5456,u5456,m363
f,5461,u5461,m363
f,5488,u5488,m365
f,5495,u5495,m366
f,5511,u5511,m367
f,5514,u5514,m367
f,5518,u5518,m367
f,5541,u5541,m369
f,5561,u5561,m370
f,5568,u5568,m370
f,5585,u5585,m371
f,5594,u5594,m372
f,5616,u5616,m373
f,5640,u5640,m374
f,5661,u5661,m375
f,5667,u5667,m375
f,5669,u5669,m375
f,5674,u5674,m376
f,5676,u5676,m376
f,5678,u5678,m376
f,5695,u5695,m377
f,5697,u5697,m377
f,5712,u5712,m378
