,MovieID,Year,Genres
0,m0,1999,['comedy''romance']
1,m1,1992,['adventure''biography''drama''history']
2,m2,2001,['action''crime''drama''thriller']
3,m3,1968,['adventure''mystery''sci-fi']
4,m4,1982,['action''comedy''crime''drama''thriller']
5,m5,1997,['action''adventure''romance''sci-fi''thriller']
6,m6,1999,['crime''mystery''thriller']
7,m7,1988,['fantasy''horror''thriller']
8,m8,1989,['fantasy''horror''thriller']
9,m9,1959,['sci-fi''thriller']
10,m10,1997,['drama''mystery''thriller']
11,m11,1997,['action''drama''thriller']
12,m12,1982,['comedy''romance''sci-fi']
13,m13,1980,['comedy''romance']
14,m14,1988,['crime''drama''sci-fi''thriller']
15,m15,1986,['action''sci-fi''thriller']
16,m16,1984,['biography''drama''music']
17,m17,1981,['horror''romance']
18,m18,1932,['drama']
19,m19,2001,['action''western']
20,m20,2000,['drama''thriller']
21,m21,2001,['drama''thriller']
22,m22,1997,['action''adventure''comedy''crime']
23,m23,1998,['action''adventure''thriller']
24,m24,1984,['comedy''romance']
25,m25,1991,['action''crime''drama''mystery''thriller']
26,m26,1992,['crime''drama']
27,m27,2000,['comedy''drama''music']
28,m28,1975,['drama''romance''war']
29,m29,2003,['crime''drama''mystery''thriller']
30,m30,2003,['adventure''drama''fantasy']
31,m31,2001,['comedy''crime''romance''thriller']
32,m32,2006,['drama']
33,m33,1989/I,['action''crime''drama''thriller']
34,m34,1982,['drama''sci-fi''thriller']
35,m35,1999,['comedy''drama''romance']
36,m36,1986,['crime''mystery''thriller']
37,m37,1999,['action''crime''drama''thriller']
38,m38,1996,['comedy''crime']
39,m39,2004,['action''adventure''mystery''thriller']
40,m40,1995,['action''biography''drama''history''war']
41,m41,2004,['drama''mystery''sci-fi''thriller']
42,m42,1942,['drama''romance''war']
43,m43,2000,['adventure''drama']
44,m44,1999,['drama''romance']
45,m45,2003,['crime''thriller']
46,m46,1998,['crime''drama']
47,m47,1974,['comedy''sci-fi''thriller']
48,m48,1990,['action''crime''drama''horror''sci-fi''thriller']
49,m49,1999,['comedy''music']
50,m50,2001,['drama''mystery''sci-fi']
51,m51,1999,['comedy''adult']
52,m52,1933,['comedy''musical']
53,m53,1980,['biography''drama''history']
54,m54,1989,['comedy''adventure''fantasy']
55,m55,2004,['drama''romance''sci-fi']
56,m56,1993,['comedy''drama''romance''western']
57,m57,1997,['horror''mystery''mystery''sci-fi''sci-fi']
58,m58,2005,['action''adventure''fantasy''sci-fi''fantasy']
59,m59,1982,['comedy''drama''romance']
60,m60,1998,['drama''fantasy']
61,m61,2005,['action''comedy''horror''thriller']
