,MovieID,Year,IMDB rating,Genres
0,m0,1999,6.9,['comedy''romance']
1,m1,1992,6.2,['adventure''biography''drama''history']
2,m2,2001,6.1,['action''crime''drama''thriller']
3,m3,1968,8.4,['adventure''mystery''sci-fi']
4,m4,1982,6.9,['action''comedy''crime''drama''thriller']
5,m5,1997,7.5,['action''adventure''romance''sci-fi''thriller']
6,m6,1999,6.3,['crime''mystery''thriller']
7,m7,1988,5.2,['fantasy''horror''thriller']
8,m8,1989,4.7,['fantasy''horror''thriller']
9,m9,1959,4.9,['sci-fi''thriller']
10,m10,1997,6.9,['drama''mystery''thriller']
11,m11,1997,6.3,['action''drama''thriller']
12,m12,1982,5.8,['comedy''romance''sci-fi']
13,m13,1980,7.8,['comedy''romance']
14,m14,1988,6.1,['crime''drama''sci-fi''thriller']
15,m15,1986,8.5,['action''sci-fi''thriller']
16,m16,1984,8.4,['biography''drama''music']
17,m17,1981,7.5,['horror''romance']
18,m18,1932,7.4,['drama']
19,m19,2001,5.7,['action''western']
20,m20,2000,7.4,['drama''thriller']
21,m21,2001,6.0,['drama''thriller']
22,m22,1997,7.1,['action''adventure''comedy''crime']
23,m23,1998,3.4,['action''adventure''thriller']
24,m24,1984,5.9,['comedy''romance']
25,m25,1991,6.6,['action''crime''drama''mystery''thriller']
26,m26,1992,6.9,['crime''drama']
27,m27,2000,6.3,['comedy''drama''music']
28,m28,1975,8.1,['drama''romance''war']
29,m29,2003,6.3,['crime''drama''mystery''thriller']
30,m30,2003,8.1,['adventure''drama''fantasy']
31,m31,2001,6.0,['comedy''crime''romance''thriller']
32,m32,2006,7.1,['drama']
33,m33,1989/I,6.4,['action''crime''drama''thriller']
34,m34,1982,8.3,['drama''sci-fi''thriller']
35,m35,1999,6.4,['comedy''drama''romance']
36,m36,1986,7.8,['crime''mystery''thriller']
37,m37,1999,7.8,['action''crime''drama''thriller']
38,m38,1996,7.2,['comedy''crime']
39,m39,2004,7.6,['action''adventure''mystery''thriller']
40,m40,1995,8.4,['action''biography''drama''history''war']
41,m41,2004,7.8,['drama''mystery''sci-fi''thriller']
42,m42,1942,8.8,['drama''romance''war']
43,m43,2000,7.5,['adventure''drama']
44,m44,1999,7.5,['drama''romance']
45,m45,2003,6.8,['crime''thriller']
46,m46,1998,7.2,['crime''drama']
47,m47,1974,6.5,['comedy''sci-fi''thriller']
48,m48,1990,5.3,['action''crime''drama''horror''sci-fi''thriller']
49,m49,1999,6.5,['comedy''music']
50,m50,2001,8.3,['drama''mystery''sci-fi']
51,m51,1999,6.3,['comedy''adult']
52,m52,1933,8.1,['comedy''musical']
53,m53,1980,8.4,['biography''drama''history']
54,m54,1989,5.9,['comedy''adventure''fantasy']
55,m55,2004,8.5,['drama''romance''sci-fi']
56,m56,1993,4.0,['comedy''drama''romance''western']
57,m57,1997,6.4,['horror''mystery''mystery''sci-fi''sci-fi']
58,m58,2005,5.7,['action''adventure''fantasy''sci-fi''fantasy']
59,m59,1982,7.2,['comedy''drama''romance']
60,m60,1998,7.6,['drama''fantasy']
61,m61,2005,6.4,['action''comedy''horror''thriller']
62,m62,1982,7.2,['biography''drama']
63,m63,1931,8.0,['drama''horror''sci-fi']
64,m64,2009,5.6,['horror']
65,m65,1996,7.1,['action''crime''horror''thriller']
66,m66,1997,5.6,['action''drama']
67,m67,1998,4.9,['action''horror''sci-fi''thriller']
68,m68,1999,7.2,['action''adventure''comedy''sci-fi']
69,m69,2000,7.5,['drama']
70,m70,1995,6.9,['comedy''crime''thriller']
71,m71,2002,5.3,['horror''mystery''thriller']
72,m72,2001,7.7,['comedy''drama']
73,m73,1996,6.6,['adventure''drama''thriller']
74,m74,1989,6.1,['action''adventure''comedy''fantasy''sci-fi''action''adventure''comedy''sci-fi']
75,m75,1986,6.9,['animation''comedy''fantasy''sci-fi''horror']
76,m76,2000,8.4,['action''adventure''drama']
77,m77,1967,8.2,['comedy''drama''romance']
78,m78,1932,7.7,['drama''romance']
79,m79,1990,7.0,['crime''drama''thriller']
80,m80,1998,5.4,['drama''horror''thriller']
81,m81,1995,4.5,['horror''thriller']
82,m82,1971,5.8,['comedy''drama']
83,m83,1979,6.7,['drama']
